CET,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,Max_Dew_PointF,MeanDew_PointF,Min_DewpointF,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressureIn,Mean_Sea_Level_PressureIn,Min_Sea_Level_PressureIn,Max_VisibilityMiles,Mean_VisibilityMiles,Min_VisibilityMiles,Max_Wind_SpeedMPH,Mean_Wind_SpeedMPH,Max_Gust_SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,month,day,year,month_day,dow,week,date,city,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Dew_PointC,MeanDew_PointC,Min_DewpointC
1996-7-1,91,76,62,68,62,55,94,65,40,30.01,29.91,29.8,6,6,5,14,5,NA,0,2,,263,7,1,1996,07-01,1,26,1996-07-01,Málaga,32.7777777777778,24.4444444444445,16.6666666666667,20,16.6666666666667,12.7777777777778
1996-7-2,95,83,71,64,56,50,78,43,23,29.86,29.83,29.8,NA,NA,NA,21,10,NA,0,NA,,312,7,2,1996,07-02,2,26,1996-07-02,Málaga,35,28.3333333333333,21.6666666666667,17.7777777777778,13.3333333333333,10
1996-7-3,80,74,69,70,64,54,88,68,39,30.04,29.97,29.89,6,5,4,12,7,NA,0,1,,149,7,3,1996,07-03,3,26,1996-07-03,Málaga,26.6666666666667,23.3333333333333,20.5555555555555,21.1111111111111,17.7777777777778,12.2222222222222
1996-7-4,78,72,66,68,65,63,94,79,57,30.04,30.02,29.98,6,4,2,13,3,NA,0,0,,132,7,4,1996,07-04,4,26,1996-07-04,Málaga,25.5555555555555,22.2222222222222,18.8888888888889,20,18.3333333333333,17.2222222222222
1996-7-5,96,82,69,64,56,52,83,41,22,29.98,29.94,29.89,NA,NA,NA,18,11,NA,0,NA,,317,7,5,1996,07-05,5,26,1996-07-05,Málaga,35.5555555555555,27.7777777777778,20.5555555555555,17.7777777777778,13.3333333333333,11.1111111111111
1996-7-6,95,85,75,63,55,48,53,38,23,29.92,29.85,29.77,NA,NA,NA,16,11,NA,0,NA,,304,7,6,1996,07-06,6,26,1996-07-06,Málaga,35,29.4444444444445,23.8888888888889,17.2222222222222,12.7777777777778,8.88888888888891
1996-7-7,87,78,69,61,53,46,50,42,32,29.86,29.83,29.8,6,6,6,21,14,NA,0,1,,320,7,7,1996,07-07,7,27,1996-07-07,Málaga,30.5555555555555,25.5555555555555,20.5555555555555,16.1111111111111,11.6666666666667,7.77777777777777
1996-7-8,77,73,69,64,61,57,83,65,53,30.15,30.02,29.86,6,6,6,21,13,NA,0,1,,109,7,8,1996,07-08,1,27,1996-07-08,Málaga,25,22.7777777777778,20.5555555555555,17.7777777777778,16.1111111111111,13.8888888888889
1996-7-9,77,70,64,63,58,52,88,68,47,30.21,30.17,30.12,6,6,6,7,3,NA,0,4,,136,7,9,1996,07-09,2,27,1996-07-09,Málaga,25,21.1111111111111,17.7777777777778,17.2222222222222,14.4444444444445,11.1111111111111
1996-7-10,78,72,66,64,60,57,73,64,54,30.18,30.12,30.06,6,6,6,12,5,NA,0,3,,218,7,10,1996,07-10,3,27,1996-07-10,Málaga,25.5555555555555,22.2222222222222,18.8888888888889,17.7777777777778,15.5555555555555,13.8888888888889
1996-7-11,77,70,64,63,60,55,83,68,53,30.12,30.09,30.06,6,6,6,9,3,NA,0,1,,170,7,11,1996,07-11,4,27,1996-07-11,Málaga,25,21.1111111111111,17.7777777777778,17.2222222222222,15.5555555555555,12.7777777777778
1996-7-12,77,72,66,66,63,61,88,76,61,30.12,30.09,30.06,6,6,6,7,3,NA,0,2,,146,7,12,1996,07-12,5,27,1996-07-12,Málaga,25,22.2222222222222,18.8888888888889,18.8888888888889,17.2222222222222,16.1111111111111
1996-7-13,78,71,64,66,64,61,94,76,65,30.12,30.09,30.06,6,6,6,7,3,NA,0,4,,184,7,13,1996,07-13,6,27,1996-07-13,Málaga,25.5555555555555,21.6666666666667,17.7777777777778,18.8888888888889,17.7777777777778,16.1111111111111
1996-7-14,82,73,64,63,57,52,88,61,39,30.15,30.11,30.06,6,6,6,10,4,NA,0,4,Rain,220,7,14,1996,07-14,7,28,1996-07-14,Málaga,27.7777777777778,22.7777777777778,17.7777777777778,17.2222222222222,13.8888888888889,11.1111111111111
1996-7-15,78,73,68,66,60,54,83,62,47,30.12,30.07,30.01,6,6,6,9,4,NA,0,3,Rain,209,7,15,1996,07-15,1,28,1996-07-15,Málaga,25.5555555555555,22.7777777777778,20,18.8888888888889,15.5555555555555,12.2222222222222
1996-7-16,82,73,64,63,58,55,83,60,42,30.09,30.04,29.98,6,6,6,9,5,NA,0,3,,222,7,16,1996,07-16,2,28,1996-07-16,Málaga,27.7777777777778,22.7777777777778,17.7777777777778,17.2222222222222,14.4444444444445,12.7777777777778
1996-7-17,80,74,68,66,62,55,78,64,57,30.04,30.03,29.98,6,6,6,9,4,NA,0,2,,159,7,17,1996,07-17,3,28,1996-07-17,Málaga,26.6666666666667,23.3333333333333,20,18.8888888888889,16.6666666666667,12.7777777777778
1996-7-18,78,73,68,68,65,59,83,74,57,30.06,30.04,30.04,6,6,6,10,5,NA,0,1,,184,7,18,1996,07-18,4,28,1996-07-18,Málaga,25.5555555555555,22.7777777777778,20,20,18.3333333333333,15
1996-7-19,84,76,68,68,62,57,83,61,45,30.09,30.06,30.04,6,6,6,9,4,NA,0,1,,158,7,19,1996,07-19,5,28,1996-07-19,Málaga,28.8888888888889,24.4444444444445,20,20,16.6666666666667,13.8888888888889
