CET,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,Max_Dew_PointF,MeanDew_PointF,Min_DewpointF,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressureIn,Mean_Sea_Level_PressureIn,Min_Sea_Level_PressureIn,Max_VisibilityMiles,Mean_VisibilityMiles,Min_VisibilityMiles,Max_Wind_SpeedMPH,Mean_Wind_SpeedMPH,Max_Gust_SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,month,day,year,month_day,dow,week,date,city,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Dew_PointC,MeanDew_PointC,Min_DewpointC
1996-7-1,78,70,62,70,65,59,94,79,65,29.98,29.93,29.86,6,6,4,14,6,NA,0,2,,192,7,1,1996,07-01,1,26,1996-07-01,Barcelona,25.5555555555555,21.1111111111111,16.6666666666667,21.1111111111111,18.3333333333333,15
1996-7-2,75,70,64,68,60,52,94,74,53,30.01,29.92,29.86,6,6,5,12,7,NA,0,5,,93,7,2,1996,07-02,2,26,1996-07-02,Barcelona,23.8888888888889,21.1111111111111,17.7777777777778,20,15.5555555555555,11.1111111111111
1996-7-3,77,68,60,70,62,57,94,77,61,30.04,30.01,29.98,6,6,6,16,7,NA,0,2,,262,7,3,1996,07-03,3,26,1996-07-03,Barcelona,25,20,15.5555555555555,21.1111111111111,16.6666666666667,13.8888888888889
1996-7-4,77,73,69,72,70,68,94,88,78,30.06,30.04,30.01,6,5,4,12,8,NA,0,3,,219,7,4,1996,07-04,4,26,1996-07-04,Barcelona,25,22.7777777777778,20.5555555555555,22.2222222222222,21.1111111111111,20
1996-7-5,78,73,68,73,70,66,94,86,74,29.98,29.89,29.8,6,5,2,17,5,NA,0,3,,195,7,5,1996,07-05,5,26,1996-07-05,Barcelona,25.5555555555555,22.7777777777778,20,22.7777777777778,21.1111111111111,18.8888888888889
1996-7-6,78,72,66,64,63,61,88,74,61,29.92,29.88,29.83,6,6,6,14,7,NA,0,3,,106,7,6,1996,07-06,6,26,1996-07-06,Barcelona,25.5555555555555,22.2222222222222,18.8888888888889,17.7777777777778,17.2222222222222,16.1111111111111
1996-7-7,80,74,68,68,60,45,83,63,32,29.86,29.67,29.53,6,6,6,21,9,32,0,4,Rain,243,7,7,1996,07-07,7,27,1996-07-07,Barcelona,26.6666666666667,23.3333333333333,20,20,15.5555555555555,7.22222222222223
1996-7-8,78,69,60,59,48,41,68,48,39,30.24,30.01,29.77,6,6,6,21,15,23,0,1,,126,7,8,1996,07-08,1,27,1996-07-08,Barcelona,25.5555555555555,20.5555555555555,15.5555555555555,15,8.88888888888891,5
1996-7-9,77,70,62,63,58,50,94,65,44,30.3,30.27,30.24,6,6,6,14,10,NA,0,1,,210,7,9,1996,07-09,2,27,1996-07-09,Barcelona,25,21.1111111111111,16.6666666666667,17.2222222222222,14.4444444444445,10
1996-7-10,77,68,60,63,59,55,88,71,57,30.27,30.22,30.15,6,6,6,14,7,NA,0,1,,226,7,10,1996,07-10,3,27,1996-07-10,Barcelona,25,20,15.5555555555555,17.2222222222222,15,12.7777777777778
