Date,CET,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,Max_Dew_PointF,MeanDew_PointF,Min_DewpointF,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressureIn,Mean_Sea_Level_PressureIn,Min_Sea_Level_PressureIn,Max_VisibilityMiles,Mean_VisibilityMiles,Min_VisibilityMiles,Max_Wind_SpeedMPH,Mean_Wind_SpeedMPH,Max_Gust_SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,month,day,year,month_day,dow,week,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Dew_PointC,MeanDew_PointC,Min_DewpointC
1996-07-01T00:00:00Z,1996-7-1,66,60,55,54,47,41,88,63,40,29.86,29.81,29.77,6,6,6,21,14,NA,0,6,,254,7,1,1996,07-01,1,26,18.8888888888889,15.5555555555555,12.7777777777778,12.2222222222222,8.33333333333331,5
1996-07-02T00:00:00Z,1996-7-2,66,60,53,48,47,43,82,62,45,29.92,29.85,29.8,6,6,6,14,10,NA,0,5,,272,7,2,1996,07-02,2,26,18.8888888888889,15.5555555555555,11.6666666666667,8.88888888888891,8.33333333333331,6.11111111111109
1996-07-03T00:00:00Z,1996-7-3,68,60,51,61,52,46,88,72,49,29.89,29.82,29.74,6,6,3,21,9,32,0,5,Rain,177,7,3,1996,07-03,3,26,20,15.5555555555555,10.5555555555555,16.1111111111111,11.1111111111111,7.77777777777777
1996-07-04T00:00:00Z,1996-7-4,73,66,60,61,52,43,100,66,33,29.86,29.8,29.71,6,6,2,21,16,34,0,5,Rain,231,7,4,1996,07-04,4,26,22.7777777777778,18.8888888888889,15.5555555555555,16.1111111111111,11.1111111111111,6.11111111111109
1996-07-05T00:00:00Z,1996-7-5,64,60,55,59,54,48,100,85,67,29.86,29.78,29.74,6,5,2,13,8,NA,0,6,Rain,287,7,5,1996,07-05,5,26,17.7777777777778,15.5555555555555,12.7777777777778,15,12.2222222222222,8.88888888888891
1996-07-06T00:00:00Z,1996-7-6,64,58,51,54,48,41,100,74,42,29.86,29.81,29.77,6,6,5,16,8,25,0,5,Rain,252,7,6,1996,07-06,6,26,17.7777777777778,14.4444444444445,10.5555555555555,12.2222222222222,8.88888888888891,5
1996-07-07T00:00:00Z,1996-7-7,64,58,51,54,49,45,88,74,49,29.83,29.76,29.71,6,6,4,13,6,NA,0,6,Rain,33,7,7,1996,07-07,7,27,17.7777777777778,14.4444444444445,10.5555555555555,12.2222222222222,9.44444444444446,7.22222222222223
1996-07-08T00:00:00Z,1996-7-8,64,57,50,54,50,46,94,75,55,30.24,30.05,29.83,6,6,5,15,9,NA,0,4,Fog-Rain,315,7,8,1996,07-08,1,27,17.7777777777778,13.8888888888889,10,12.2222222222222,10,7.77777777777777
1996-07-09T00:00:00Z,1996-7-9,69,60,50,55,50,46,94,72,46,30.3,30.26,30.24,6,6,3,15,8,NA,0,5,Fog-Rain,262,7,9,1996,07-09,2,27,20.5555555555555,15.5555555555555,10,12.7777777777778,10,7.77777777777777
1996-07-10T00:00:00Z,1996-7-10,71,66,60,59,55,52,94,73,50,30.27,30.23,30.18,6,5,2,15,9,NA,0,5,Rain,310,7,10,1996,07-10,3,27,21.6666666666667,18.8888888888889,15.5555555555555,15,12.7777777777778,11.1111111111111
1996-07-11T00:00:00Z,1996-7-11,77,60,42,55,53,27,88,66,44,30.27,30.22,30.12,6,6,4,8,4,NA,0,4,,239,7,11,1996,07-11,4,27,25,15.5555555555555,5.55555555555554,12.7777777777778,11.6666666666667,-2.77777777777777
1996-07-12T00:00:00Z,1996-7-12,71,63,55,57,55,54,100,73,56,30.15,30.11,30.09,6,5,1,13,6,NA,0,4,,296,7,12,1996,07-12,5,27,21.6666666666667,17.2222222222222,12.7777777777778,13.8888888888889,12.7777777777778,12.2222222222222
1996-07-13T00:00:00Z,1996-7-13,78,68,59,57,55,52,88,67,39,30.24,30.17,30.12,6,6,4,12,5,NA,0,5,,259,7,13,1996,07-13,6,27,25.5555555555555,20,15,13.8888888888889,12.7777777777778,11.1111111111111
1996-07-14T00:00:00Z,1996-7-14,73,66,59,63,59,57,94,77,61,30.33,30.3,30.24,6,6,5,9,4,NA,0,5,,324,7,14,1996,07-14,7,28,22.7777777777778,18.8888888888889,15,17.2222222222222,15,13.8888888888889
1996-07-15T00:00:00Z,1996-7-15,78,70,62,64,59,50,94,72,44,30.33,30.3,30.27,6,5,2,15,8,NA,0,5,,18,7,15,1996,07-15,1,28,25.5555555555555,21.1111111111111,16.6666666666667,17.7777777777778,15,10
1996-07-16T00:00:00Z,1996-7-16,73,62,51,52,48,45,88,60,36,30.36,30.33,30.27,6,6,6,17,12,26,0,1,,33,7,16,1996,07-16,2,28,22.7777777777778,16.6666666666667,10.5555555555555,11.1111111111111,8.88888888888891,7.22222222222223
1996-07-17T00:00:00Z,1996-7-17,77,64,51,50,47,45,88,58,36,30.3,30.26,30.21,NA,NA,NA,17,11,NA,0,NA,,33,7,17,1996,07-17,3,28,25,17.7777777777778,10.5555555555555,10,8.33333333333331,7.22222222222223
1996-07-18T00:00:00Z,1996-7-18,77,64,51,50,45,37,88,51,24,30.27,30.24,30.21,NA,NA,NA,14,9,NA,0,NA,,26,7,18,1996,07-18,4,28,25,17.7777777777778,10.5555555555555,10,7.22222222222223,2.77777777777777
1996-07-19T00:00:00Z,1996-7-19,78,38,-2,52,46,-24,94,57,28,30.27,30.24,30.21,6,5,4,10,8,NA,0,4,,36,7,19,1996,07-19,5,28,25.5555555555555,3.33333333333331,-18.8888888888889,11.1111111111111,7.77777777777777,-31.1111111111111
1996-07-20T00:00:00Z,1996-7-20,80,68,55,50,45,41,77,45,24,30.24,30.21,30.18,NA,NA,NA,9,7,NA,0,NA,,61,7,20,1996,07-20,6,28,26.6666666666667,20,12.7777777777778,10,7.22222222222223,5
1996-07-21T00:00:00Z,1996-7-21,84,72,60,46,43,39,52,35,23,30.21,30.18,30.12,NA,NA,NA,10,6,NA,0,NA,,122,7,21,1996,07-21,7,29,28.8888888888889,22.2222222222222,15.5555555555555,7.77777777777777,6.11111111111109,3.88888888888891
