CET,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,Max_Dew_PointF,MeanDew_PointF,Min_DewpointF,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressureIn,Mean_Sea_Level_PressureIn,Min_Sea_Level_PressureIn,Max_VisibilityMiles,Mean_VisibilityMiles,Min_VisibilityMiles,Max_Wind_SpeedMPH,Mean_Wind_SpeedMPH,Max_Gust_SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,month,day,year,month_day,dow,week,date,city,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Dew_PointC,MeanDew_PointC,Min_DewpointC
1996-7-1,77,68,59,68,62,57,94,79,61,29.98,29.92,29.89,6,6,4,10,5,NA,0,3,,162,7,1,1996,07-01,1,26,1996-07-01,Rome,25,20,15,20,16.6666666666667,13.8888888888889
1996-7-2,78,70,62,68,65,57,100,76,53,29.92,29.88,29.83,6,4,1,20,9,NA,0,4,Fog-Rain,137,7,2,1996,07-02,2,26,1996-07-02,Rome,25.5555555555555,21.1111111111111,16.6666666666667,20,18.3333333333333,13.8888888888889
1996-7-3,77,74,69,70,64,55,88,72,57,29.98,29.86,29.8,6,6,5,20,10,NA,0,4,,194,7,3,1996,07-03,3,26,1996-07-03,Rome,25,23.3333333333333,20.5555555555555,21.1111111111111,17.7777777777778,12.7777777777778
1996-7-4,77,55,33,68,58,9,94,72,35,30.09,30.05,30.01,6,6,6,14,6,NA,0,2,,276,7,4,1996,07-04,4,26,1996-07-04,Rome,25,12.7777777777778,0.555555555555543,20,14.4444444444445,-12.7777777777778
1996-7-5,84,72,60,68,64,59,94,73,51,30.06,29.99,29.89,6,4,3,12,6,NA,0,1,,288,7,5,1996,07-05,5,26,1996-07-05,Rome,28.8888888888889,22.2222222222222,15.5555555555555,20,17.7777777777778,15
1996-7-6,80,71,62,70,65,61,100,80,61,29.89,29.85,29.8,6,5,3,13,6,NA,0,3,Fog,167,7,6,1996,07-06,6,26,1996-07-06,Rome,26.6666666666667,21.6666666666667,16.6666666666667,21.1111111111111,18.3333333333333,16.1111111111111
1996-7-7,80,72,64,73,68,63,100,83,65,29.83,29.75,29.68,6,5,2,17,8,26,0,3,,134,7,7,1996,07-07,7,27,1996-07-07,Rome,26.6666666666667,22.2222222222222,17.7777777777778,22.7777777777778,20,17.2222222222222
1996-7-8,75,72,68,73,63,55,100,75,57,29.92,29.75,29.68,6,4,2,33,16,50,0,3,,217,7,8,1996,07-08,1,27,1996-07-08,Rome,23.8888888888889,22.2222222222222,20,22.7777777777778,17.2222222222222,12.7777777777778
1996-7-9,75,65,55,61,56,52,94,73,57,30.01,29.98,29.92,6,6,4,21,9,NA,0,2,,282,7,9,1996,07-09,2,27,1996-07-09,Rome,23.8888888888889,18.3333333333333,12.7777777777778,16.1111111111111,13.3333333333333,11.1111111111111
1996-7-10,80,70,59,66,58,50,88,64,39,30.09,30.04,30.01,6,6,6,17,7,NA,0,3,,311,7,10,1996,07-10,3,27,1996-07-10,Rome,26.6666666666667,21.1111111111111,15,18.8888888888889,14.4444444444445,10
1996-7-11,78,68,59,66,58,54,94,69,44,30.04,30.01,29.98,6,6,6,18,6,NA,0,3,,310,7,11,1996,07-11,4,27,1996-07-11,Rome,25.5555555555555,20,15,18.8888888888889,14.4444444444445,12.2222222222222
1996-7-12,77,68,59,70,63,55,100,74,50,30.09,30.04,30.04,6,6,5,16,6,NA,0,3,,267,7,12,1996,07-12,5,27,1996-07-12,Rome,25,20,15,21.1111111111111,17.2222222222222,12.7777777777778
1996-7-13,80,72,64,70,64,59,100,76,48,30.12,30.09,30.06,6,3,0,13,5,NA,0,2,Fog,307,7,13,1996,07-13,6,27,1996-07-13,Rome,26.6666666666667,22.2222222222222,17.7777777777778,21.1111111111111,17.7777777777778,15
1996-7-14,84,74,64,68,61,55,100,72,39,30.15,30.12,30.09,6,4,2,13,4,NA,0,1,,9,7,14,1996,07-14,7,28,1996-07-14,Rome,28.8888888888889,23.3333333333333,17.7777777777778,20,16.1111111111111,12.7777777777778
1996-7-15,84,73,62,72,65,57,100,78,51,30.09,30.07,30.04,6,5,2,12,4,NA,0,3,,112,7,15,1996,07-15,1,28,1996-07-15,Rome,28.8888888888889,22.7777777777778,16.6666666666667,22.2222222222222,18.3333333333333,13.8888888888889
1996-7-16,82,72,62,72,66,61,100,82,51,30.06,30.05,30.01,5,3,0,14,5,NA,0,3,Fog,293,7,16,1996,07-16,2,28,1996-07-16,Rome,27.7777777777778,22.2222222222222,16.6666666666667,22.2222222222222,18.8888888888889,16.1111111111111
1996-7-17,86,74,62,73,67,61,100,78,51,30.04,30.02,29.98,6,3,1,15,5,NA,0,2,,6,7,17,1996,07-17,3,28,1996-07-17,Rome,30,23.3333333333333,16.6666666666667,22.7777777777778,19.4444444444445,16.1111111111111
1996-7-18,84,75,66,73,67,61,94,76,54,30.01,30,29.98,6,5,4,13,5,NA,0,3,,294,7,18,1996,07-18,4,28,1996-07-18,Rome,28.8888888888889,23.8888888888889,18.8888888888889,22.7777777777778,19.4444444444445,16.1111111111111
1996-7-19,82,72,62,72,67,34,100,82,30,30.04,30,29.98,6,3,0,13,4,NA,0,3,Fog,219,7,19,1996,07-19,5,28,1996-07-19,Rome,27.7777777777778,22.2222222222222,16.6666666666667,22.2222222222222,19.4444444444445,1.11111111111109
1996-7-20,80,73,66,70,65,59,94,77,61,30.04,30.01,29.98,6,5,2,17,5,NA,0,4,,51,7,20,1996,07-20,6,28,1996-07-20,Rome,26.6666666666667,22.7777777777778,18.8888888888889,21.1111111111111,18.3333333333333,15
