EST,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,Max_Dew_PointF,MeanDew_PointF,Min_DewpointF,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressureIn,Mean_Sea_Level_PressureIn,Min_Sea_Level_PressureIn,Max_VisibilityMiles,Mean_VisibilityMiles,Min_VisibilityMiles,Max_Wind_SpeedMPH,Mean_Wind_SpeedMPH,Max_Gust_SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,month,day,year,month_day,dow,week,date,city,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Dew_PointC,MeanDew_PointC,Min_DewpointC
1996-1-1,43,40,36,32,30,25,86,71,51,29.99,29.95,29.9,10,9,7,12,5,NA,0.37,7,Rain,70,1,1,1996,01-01,1,00,1996-01-01,New York,6.11111111111109,4.44444444444446,2.22222222222223,0,-1.11111111111109,-3.88888888888891
1996-1-2,39,34,30,37,33,30,100,88,76,29.94,29.82,29.68,10,6,1,14,8,NA,0.28,8,Fog-Rain-Snow,38,1,2,1996,01-02,2,00,1996-01-02,New York,3.88888888888891,1.11111111111109,-1.11111111111109,2.77777777777777,0.555555555555543,-1.11111111111109
1996-1-3,30,27,23,31,26,20,100,92,88,29.66,29.52,29.41,10,6,2,15,11,NA,0.15,8,Fog-Rain-Snow,23,1,3,1996,01-03,3,00,1996-01-03,New York,-1.11111111111109,-2.77777777777777,-5,-0.555555555555543,-3.33333333333331,-6.66666666666669
1996-1-4,26,22,17,19,11,7,89,65,47,30.19,29.97,29.65,20,15,8,15,11,NA,1.47,4,Snow,317,1,4,1996,01-04,4,00,1996-01-04,New York,-3.33333333333331,-5.55555555555554,-8.33333333333331,-7.22222222222223,-11.6666666666667,-13.8888888888889
1996-1-5,28,22,12,14,8,-5,74,56,43,30.4,30.25,30.18,20,19,15,18,10,25,1.04,2,,309,1,5,1996,01-05,5,00,1996-01-05,New York,-2.22222222222223,-5.55555555555554,-11.1111111111111,-10,-13.3333333333333,-20.5555555555555
1996-1-6,19,14,9,2,-3,-7,53,46,35,30.51,30.46,30.4,20,20,20,12,9,NA,0.48,5,,347,1,6,1996,01-06,6,00,1996-01-06,New York,-7.22222222222223,-10,-12.7777777777778,-16.6666666666667,-19.4444444444445,-21.6666666666667
1996-1-7,23,19,15,21,12,1,96,77,54,30.42,30.1,29.57,20,5,0,29,13,34,0.69,8,Fog-Snow,38,1,7,1996,01-07,7,01,1996-01-07,New York,-5,-7.22222222222223,-9.44444444444446,-6.11111111111109,-11.1111111111111,-17.2222222222222
1996-1-8,24,22,19,22,17,3,96,85,46,29.7,29.48,29.38,20,6,0,30,24,46,0.41,7,Fog-Snow,9,1,8,1996,01-08,1,01,1996-01-08,New York,-4.44444444444446,-5.55555555555554,-7.22222222222223,-5.55555555555554,-8.33333333333331,-16.1111111111111
1996-1-9,28,24,19,22,13,4,91,63,50,29.87,29.77,29.7,20,13,1,21,11,NA,0.78,6,Fog-Snow,274,1,9,1996,01-09,2,01,1996-01-09,New York,-2.22222222222223,-4.44444444444446,-7.22222222222223,-5.55555555555554,-10.5555555555555,-15.5555555555555
1996-1-10,34,29,24,20,17,14,78,65,52,30.02,29.8,29.68,15,12,10,16,12,NA,2.3,5,,316,1,10,1996,01-10,3,01,1996-01-10,New York,1.11111111111109,-1.66666666666669,-4.44444444444446,-6.66666666666669,-8.33333333333331,-10
