Date,WET,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,Max_Dew_PointF,MeanDew_PointF,Min_DewpointF,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressureIn,Mean_Sea_Level_PressureIn,Min_Sea_Level_PressureIn,Max_VisibilityMiles,Mean_VisibilityMiles,Min_VisibilityMiles,Max_Wind_SpeedMPH,Mean_Wind_SpeedMPH,Max_Gust_SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,month,day,year,month_day,dow,week,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Dew_PointC,MeanDew_PointC,Min_DewpointC
1996-06-30T00:00:00Z,1996-6-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,,-1,6,30,1996,06-30,7,26,NA,NA,NA,NA,NA,NA
1996-07-01T00:00:00Z,1996-7-1,77,72,68,68,65,63,83,78,69,30.09,30.03,29.98,6,6,6,91,28,38,0,2,,19,7,1,1996,07-01,1,26,25,22.2222222222222,20,20,18.3333333333333,17.2222222222222
1996-07-02T00:00:00Z,1996-7-2,77,72,68,66,64,61,83,77,61,30.12,30.02,29.98,6,6,6,30,24,30,0,4,,18,7,2,1996,07-02,2,26,25,22.2222222222222,20,18.8888888888889,17.7777777777778,16.1111111111111
1996-07-03T00:00:00Z,1996-7-3,80,74,68,66,64,59,83,75,48,30.12,30.07,30.04,6,6,6,31,25,40,0,2,,20,7,3,1996,07-03,3,26,26.6666666666667,23.3333333333333,20,18.8888888888889,17.7777777777778,15
1996-07-04T00:00:00Z,1996-7-4,80,74,68,64,63,61,83,74,51,30.15,30.13,30.12,6,6,6,30,26,44,0,3,,17,7,4,1996,07-04,4,26,26.6666666666667,23.3333333333333,20,17.7777777777778,17.2222222222222,16.1111111111111
1996-07-05T00:00:00Z,1996-7-5,78,74,69,68,64,55,88,75,60,30.15,30.1,30.06,6,6,5,32,27,44,0,5,Rain,12,7,5,1996,07-05,5,26,25.5555555555555,23.3333333333333,20.5555555555555,20,17.7777777777778,12.7777777777778
1996-07-06T00:00:00Z,1996-7-6,77,72,68,66,64,61,88,78,69,30.06,30.03,29.98,6,6,6,32,26,44,0,5,Rain,10,7,6,1996,07-06,6,26,25,22.2222222222222,20,18.8888888888889,17.7777777777778,16.1111111111111
1996-07-07T00:00:00Z,1996-7-7,77,72,68,66,65,64,88,78,65,30.01,29.98,29.95,6,6,6,28,23,37,0,4,,16,7,7,1996,07-07,7,27,25,22.2222222222222,20,18.8888888888889,18.3333333333333,17.7777777777778
1996-07-08T00:00:00Z,1996-7-8,77,73,69,70,66,63,88,80,69,30.04,30.01,29.95,6,6,6,32,24,NA,0,4,,15,7,8,1996,07-08,1,27,25,22.7777777777778,20.5555555555555,21.1111111111111,18.8888888888889,17.2222222222222
1996-07-09T00:00:00Z,1996-7-9,80,74,68,66,64,57,88,75,47,30.12,30.06,30.04,6,6,6,34,28,39,0,2,,20,7,9,1996,07-09,2,27,26.6666666666667,23.3333333333333,20,18.8888888888889,17.7777777777778,13.8888888888889
1996-07-10T00:00:00Z,1996-7-10,82,75,68,66,60,48,88,64,34,30.12,30.07,30.04,6,6,6,32,28,NA,0,1,,15,7,10,1996,07-10,3,27,27.7777777777778,23.8888888888889,20,18.8888888888889,15.5555555555555,8.88888888888891
1996-07-11T00:00:00Z,1996-7-11,82,76,69,64,52,37,78,46,21,30.04,29.99,29.92,6,6,6,30,23,37,0,1,,18,7,11,1996,07-11,4,27,27.7777777777778,24.4444444444445,20.5555555555555,17.7777777777778,11.1111111111111,2.77777777777777
1996-07-12T00:00:00Z,1996-7-12,78,73,68,66,65,63,83,78,61,29.98,29.92,29.89,6,6,6,32,22,NA,0,1,,25,7,12,1996,07-12,5,27,25.5555555555555,22.7777777777778,20,18.8888888888889,18.3333333333333,17.2222222222222
1996-07-13T00:00:00Z,1996-7-13,77,72,68,68,66,63,88,83,74,29.98,29.95,29.92,6,6,6,30,20,NA,0,2,,22,7,13,1996,07-13,6,27,25,22.2222222222222,20,20,18.8888888888889,17.2222222222222
1996-07-14T00:00:00Z,1996-7-14,77,72,68,70,66,63,88,83,78,30.04,29.99,29.95,6,6,6,28,21,NA,0,1,,26,7,14,1996,07-14,7,28,25,22.2222222222222,20,21.1111111111111,18.8888888888889,17.2222222222222
1996-07-15T00:00:00Z,1996-7-15,87,78,68,68,62,46,83,65,24,30.04,30.02,30.01,6,6,6,28,19,NA,0,1,,30,7,15,1996,07-15,1,28,30.5555555555555,25.5555555555555,20,20,16.6666666666667,7.77777777777777
1996-07-16T00:00:00Z,1996-7-16,82,75,68,68,65,63,88,74,51,30.06,30.04,30.01,6,6,6,26,22,NA,0,1,,23,7,16,1996,07-16,2,28,27.7777777777778,23.8888888888889,20,20,18.3333333333333,17.2222222222222
1996-07-17T00:00:00Z,1996-7-17,77,73,69,66,65,63,88,75,61,30.09,30.05,30.04,6,6,6,29,23,NA,0,1,,19,7,17,1996,07-17,3,28,25,22.7777777777778,20.5555555555555,18.8888888888889,18.3333333333333,17.2222222222222
1996-07-18T00:00:00Z,1996-7-18,78,74,69,68,66,63,88,76,61,30.09,30.06,30.04,6,6,6,83,23,32,0,2,,19,7,18,1996,07-18,4,28,25.5555555555555,23.3333333333333,20.5555555555555,20,18.8888888888889,17.2222222222222
1996-07-19T00:00:00Z,1996-7-19,78,74,71,68,66,64,83,76,61,30.12,30.08,30.06,6,6,6,29,22,NA,0,4,,24,7,19,1996,07-19,5,28,25.5555555555555,23.3333333333333,21.6666666666667,20,18.8888888888889,17.7777777777778
1996-07-20T00:00:00Z,1996-7-20,78,74,71,68,67,64,83,76,65,30.09,30.05,30.01,6,6,6,29,19,NA,0,3,,23,7,20,1996,07-20,6,28,25.5555555555555,23.3333333333333,21.6666666666667,20,19.4444444444445,17.7777777777778
1996-07-21T00:00:00Z,1996-7-21,80,76,71,68,66,64,83,75,61,30.04,30.02,29.98,6,6,6,30,20,34,0,1,,20,7,21,1996,07-21,7,29,26.6666666666667,24.4444444444445,21.6666666666667,20,18.8888888888889,17.7777777777778
1996-07-22T00:00:00Z,1996-7-22,80,76,71,68,65,57,83,72,53,30.01,30,29.98,6,6,6,32,23,NA,0,2,,15,7,22,1996,07-22,1,29,26.6666666666667,24.4444444444445,21.6666666666667,20,18.3333333333333,13.8888888888889
1996-07-23T00:00:00Z,1996-7-23,77,73,69,66,65,63,88,76,61,30.01,29.99,29.95,6,6,6,32,22,NA,0,1,,15,7,23,1996,07-23,2,29,25,22.7777777777778,20.5555555555555,18.8888888888889,18.3333333333333,17.2222222222222
1996-07-24T00:00:00Z,1996-7-24,80,76,71,70,67,64,83,77,69,30.01,29.95,29.92,6,6,6,32,24,39,0,2,,14,7,24,1996,07-24,3,29,26.6666666666667,24.4444444444445,21.6666666666667,21.1111111111111,19.4444444444445,17.7777777777778
1996-07-25T00:00:00Z,1996-7-25,78,74,71,70,68,66,88,80,74,30.06,30.01,29.98,6,6,6,30,24,34,0,1,,20,7,25,1996,07-25,4,29,25.5555555555555,23.3333333333333,21.6666666666667,21.1111111111111,20,18.8888888888889
1996-07-26T00:00:00Z,1996-7-26,80,76,71,68,68,66,88,79,65,30.09,30.06,30.04,6,6,6,30,26,40,0,4,,17,7,26,1996,07-26,5,29,26.6666666666667,24.4444444444445,21.6666666666667,20,20,18.8888888888889
1996-07-27T00:00:00Z,1996-7-27,78,74,69,66,65,63,88,73,61,30.06,30.03,29.98,6,6,6,34,27,34,0,4,,14,7,27,1996,07-27,6,29,25.5555555555555,23.3333333333333,20.5555555555555,18.8888888888889,18.3333333333333,17.2222222222222
