CST,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,Max_Dew_PointF,MeanDew_PointF,Min_DewpointF,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressureIn,Mean_Sea_Level_PressureIn,Min_Sea_Level_PressureIn,Max_VisibilityMiles,Mean_VisibilityMiles,Min_VisibilityMiles,Max_Wind_SpeedMPH,Mean_Wind_SpeedMPH,Max_Gust_SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,month,day,year,month_day,dow,week,date,city,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Dew_PointC,MeanDew_PointC,Min_DewpointC
1996-1-1,34,30,25,25,24,22,85,74,62,30,29.96,29.92,15,13,8,24,14,NA,0,8,,354,1,1,1996,01-01,1,00,1996-01-01,Chicago,1.11111111111109,-1.11111111111109,-3.88888888888891,-3.88888888888891,-4.44444444444446,-5.55555555555554
1996-1-2,36,28,19,18,15,14,92,72,48,30.17,30.12,30.06,15,11,8,23,17,NA,0,8,Snow,351,1,2,1996,01-02,2,00,1996-01-02,Chicago,2.22222222222223,-2.22222222222223,-7.22222222222223,-7.77777777777777,-9.44444444444446,-10
1996-1-3,25,20,14,22,17,10,88,82,69,29.73,29.52,29.4,20,8,1,17,12,NA,0,7,Snow,162,1,3,1996,01-03,3,00,1996-01-03,Chicago,-3.88888888888891,-6.66666666666669,-10,-5.55555555555554,-8.33333333333331,-12.2222222222222
1996-1-4,23,18,14,20,11,8,88,77,65,30.25,30.07,29.92,15,12,8,23,18,NA,0,7,,6,1,4,1996,01-04,4,00,1996-01-04,Chicago,-5,-7.77777777777777,-10,-6.66666666666669,-11.6666666666667,-13.3333333333333
1996-1-5,10,6,3,4,1,-3,87,77,69,30.46,30.43,30.41,15,9,2,8,7,NA,0,7,Fog-Snow,29,1,5,1996,01-05,5,00,1996-01-05,Chicago,-12.2222222222222,-14.4444444444445,-16.1111111111111,-15.5555555555555,-17.2222222222222,-19.4444444444445
1996-1-6,12,4,-5,4,-2,-9,87,76,45,30.54,30.49,30.45,15,15,15,6,3,NA,0,2,,164,1,6,1996,01-06,6,00,1996-01-06,Chicago,-11.1111111111111,-15.5555555555555,-20.5555555555555,-15.5555555555555,-18.8888888888889,-22.7777777777778
1996-1-7,16,4,-9,11,2,-13,87,81,74,30.48,30.38,30.23,10,6,0,17,6,NA,0,8,Fog,193,1,7,1996,01-07,7,01,1996-01-07,Chicago,-8.88888888888891,-15.5555555555555,-22.7777777777778,-11.6666666666667,-16.6666666666667,-25
1996-1-8,46,26,7,31,20,4,84,70,54,29.93,29.88,29.82,15,15,15,12,3,NA,0,5,,292,1,8,1996,01-08,1,01,1996-01-08,Chicago,7.77777777777777,-3.33333333333331,-13.8888888888889,-0.555555555555543,-6.66666666666669,-15.5555555555555
1996-1-9,50,38,27,34,28,22,78,57,44,30.15,30.13,30.11,20,18,15,12,6,NA,0,3,,325,1,9,1996,01-09,2,01,1996-01-09,Chicago,10,3.33333333333331,-2.77777777777777,1.11111111111109,-2.22222222222223,-5.55555555555554
1996-1-10,45,40,34,34,31,30,85,70,60,29.86,29.8,29.74,15,15,15,23,13,NA,0,7,,249,1,10,1996,01-10,3,01,1996-01-10,Chicago,7.22222222222223,4.44444444444446,1.11111111111109,1.11111111111109,-0.555555555555543,-1.11111111111109
1996-1-11,54,43,32,30,26,21,72,48,35,30.04,30.01,29.98,20,17,15,21,17,NA,0,0,,312,1,11,1996,01-11,4,01,1996-01-11,Chicago,12.2222222222222,6.11111111111109,0,-1.11111111111109,-3.33333333333331,-6.11111111111109
1996-1-12,63,45,27,35,29,24,85,48,30,30.07,30.02,29.98,20,20,15,15,6,NA,0,3,,306,1,12,1996,01-12,5,01,1996-01-12,Chicago,17.2222222222222,7.22222222222223,-2.77777777777777,1.66666666666669,-1.66666666666669,-4.44444444444446
1996-1-13,65,45,25,35,30,19,85,46,31,29.85,29.77,29.71,20,19,15,16,7,NA,0,3,,305,1,13,1996,01-13,6,01,1996-01-13,Chicago,18.3333333333333,7.22222222222223,-3.88888888888891,1.66666666666669,-1.11111111111109,-7.22222222222223
1996-1-14,38,29,19,27,21,13,96,77,60,30.23,30.08,29.92,20,13,5,22,15,NA,0,4,Fog,8,1,14,1996,01-14,7,02,1996-01-14,Chicago,3.33333333333331,-1.66666666666669,-7.22222222222223,-2.77777777777777,-6.11111111111109,-10.5555555555555
