Date,GMT,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,Max_Dew_PointF,MeanDew_PointF,Min_DewpointF,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressureIn,Mean_Sea_Level_PressureIn,Min_Sea_Level_PressureIn,Max_VisibilityMiles,Mean_VisibilityMiles,Min_VisibilityMiles,Max_Wind_SpeedMPH,Mean_Wind_SpeedMPH,Max_Gust_SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,month,day,year,month_day,dow,week,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Dew_PointC,MeanDew_PointC,Min_DewpointC
1996-06-30T00:00:00Z,1996-6-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,,-1,6,30,1996,06-30,7,26,NA,NA,NA,NA,NA,NA
1996-07-01T00:00:00Z,1996-7-1,62,56,51,54,49,46,100,76,59,29.95,29.85,29.83,6,6,4,28,15,39,0,5,Rain,279,7,1,1996,07-01,1,26,16.6666666666667,13.3333333333333,10.5555555555555,12.2222222222222,9.44444444444446,7.77777777777777
1996-07-02T00:00:00Z,1996-7-2,60,56,53,57,53,50,100,85,72,29.89,29.85,29.74,6,6,6,12,10,24,0,6,,244,7,2,1996,07-02,2,26,15.5555555555555,13.3333333333333,11.6666666666667,13.8888888888889,11.6666666666667,10
1996-07-03T00:00:00Z,1996-7-3,59,56,53,57,54,48,100,90,77,29.71,29.62,29.56,6,4,0,18,14,34,0,6,Fog-Rain,227,7,3,1996,07-03,3,26,15,13.3333333333333,11.6666666666667,13.8888888888889,12.2222222222222,8.88888888888891
1996-07-04T00:00:00Z,1996-7-4,60,56,53,55,51,48,100,81,63,29.86,29.76,29.68,6,6,6,16,12,32,0,5,,253,7,4,1996,07-04,4,26,15.5555555555555,13.3333333333333,11.6666666666667,12.7777777777778,10.5555555555555,8.88888888888891
1996-07-05T00:00:00Z,1996-7-5,60,56,51,52,46,41,94,71,48,29.86,29.84,29.8,6,6,6,16,10,NA,0,3,,301,7,5,1996,07-05,5,26,15.5555555555555,13.3333333333333,10.5555555555555,11.1111111111111,7.77777777777777,5
1996-07-06T00:00:00Z,1996-7-6,59,54,50,50,45,41,88,72,55,29.86,29.85,29.83,6,6,3,12,8,NA,0,2,Rain,285,7,6,1996,07-06,6,26,15,12.2222222222222,10,10,7.22222222222223,5
1996-07-07T00:00:00Z,1996-7-7,60,52,44,52,47,41,94,76,55,30.09,29.91,29.8,6,6,6,18,7,28,0,2,,327,7,7,1996,07-07,7,27,15.5555555555555,11.1111111111111,6.66666666666669,11.1111111111111,8.33333333333331,5
1996-07-08T00:00:00Z,1996-7-8,64,58,51,55,49,45,100,76,49,30.33,30.23,30.09,6,6,6,15,10,NA,0,3,,290,7,8,1996,07-08,1,27,17.7777777777778,14.4444444444445,10.5555555555555,12.7777777777778,9.44444444444446,7.22222222222223
1996-07-09T00:00:00Z,1996-7-9,62,58,55,59,55,52,100,87,68,30.39,30.32,30.27,6,4,0,16,9,NA,0,7,Fog,293,7,9,1996,07-09,2,27,16.6666666666667,14.4444444444445,12.7777777777778,15,12.7777777777778,11.1111111111111
1996-07-10T00:00:00Z,1996-7-10,69,64,57,59,56,48,100,82,64,30.39,30.37,30.33,6,5,1,14,10,NA,0,5,Fog,318,7,10,1996,07-10,3,27,20.5555555555555,17.7777777777778,13.8888888888889,15,13.3333333333333,8.88888888888891
1996-07-11T00:00:00Z,1996-7-11,64,60,57,57,54,50,94,81,59,30.33,30.28,30.24,6,6,4,14,11,NA,0,7,,300,7,11,1996,07-11,4,27,17.7777777777778,15.5555555555555,13.8888888888889,13.8888888888889,12.2222222222222,10
1996-07-12T00:00:00Z,1996-7-12,60,58,55,59,58,54,100,98,88,30.18,30.15,30.12,3,0,0,12,7,NA,0,8,Fog-Rain,246,7,12,1996,07-12,5,27,15.5555555555555,14.4444444444445,12.7777777777778,15,14.4444444444445,12.2222222222222
1996-07-13T00:00:00Z,1996-7-13,62,60,57,61,58,55,100,98,88,30.27,30.18,30.12,3,1,0,14,8,22,0,8,Fog,243,7,13,1996,07-13,6,27,16.6666666666667,15.5555555555555,13.8888888888889,16.1111111111111,14.4444444444445,12.7777777777778
1996-07-14T00:00:00Z,1996-7-14,66,62,59,61,59,55,100,91,78,30.39,30.33,30.27,6,4,0,13,6,NA,0,6,Fog,280,7,14,1996,07-14,7,28,18.8888888888889,16.6666666666667,15,16.1111111111111,15,12.7777777777778
1996-07-15T00:00:00Z,1996-7-15,69,62,55,57,54,50,94,75,56,30.42,30.4,30.39,6,6,6,12,8,NA,0,3,,39,7,15,1996,07-15,1,28,20.5555555555555,16.6666666666667,12.7777777777778,13.8888888888889,12.2222222222222,10
1996-07-16T00:00:00Z,1996-7-16,62,58,55,54,50,46,94,74,59,30.42,30.4,30.36,6,6,6,32,18,48,0,2,,80,7,16,1996,07-16,2,28,16.6666666666667,14.4444444444445,12.7777777777778,12.2222222222222,10,7.77777777777777
1996-07-17T00:00:00Z,1996-7-17,64,60,55,55,50,41,94,73,42,30.36,30.34,30.3,6,6,6,28,19,36,0,5,,79,7,17,1996,07-17,3,28,17.7777777777778,15.5555555555555,12.7777777777778,12.7777777777778,10,5
